Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
0.0,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
3.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
5.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
7.998999999999999,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
10.0,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
11.998,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
13.998999999999999,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
16.0,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
17.998,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
19.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
23.999,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
25.999000000000002,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
27.997,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
29.999000000000002,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
31.999,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
33.999,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
35.999,259.0,5726.4,177.8,1.234,1.181,64.329,0.986
37.998999999999995,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
39.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
41.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
43.996,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
45.998,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
49.996,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
51.998000000000005,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
53.998999999999995,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
55.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
58.0,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
59.998999999999995,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
62.0,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
63.999,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
67.99900000000001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
70.0,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
73.99799999999999,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
75.996,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
77.998,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
80.001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
81.998,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
83.995,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
85.99600000000001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
87.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
89.994,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
94.001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
97.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
99.99900000000001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
101.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
105.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
107.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
109.998,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
111.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
113.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.022
115.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
117.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
119.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
123.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
125.997,259.0,5726.4,177.8,1.234,1.181,64.329,1.127
128.002,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
130.001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
132.001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
134.001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
136.001,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
139.994,259.0,5726.4,177.8,1.234,1.181,64.329,1.092
141.99800000000002,259.0,5726.4,177.8,1.234,1.181,64.329,1.128
145.99699999999999,259.0,5726.5,177.8,1.234,1.181,64.329,1.128
147.99699999999999,259.0,5726.5,177.8,1.234,1.181,64.329,1.128
149.99499999999998,259.0,5726.5,177.8,1.234,1.181,64.329,1.128
151.994,259.0,5726.5,177.8,1.234,1.181,64.329,1.128
153.993,259.0,5726.5,177.8,1.234,1.181,64.329,0.916
155.994,259.0,5726.5,177.8,1.234,1.181,64.329,0.916
157.994,259.0,5726.5,177.8,1.234,1.181,64.329,0.916
159.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.916
161.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.916
163.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.916
165.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.916
169.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
171.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
173.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
175.99300000000002,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
177.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
179.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
181.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
183.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
185.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
187.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
189.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
193.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
195.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
197.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
199.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
201.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
203.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
205.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
207.99300000000002,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
209.99300000000002,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
211.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
213.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
217.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
219.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
221.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
223.999,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
225.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
227.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
229.997,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
233.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
235.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
239.99300000000002,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
241.99200000000002,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
243.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
245.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
247.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
249.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
251.99300000000002,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
255.994,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
257.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
259.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
263.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
265.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
267.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
269.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
271.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
273.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
275.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
277.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
279.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
283.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
287.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
291.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
293.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
295.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
297.99399999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
299.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
301.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
303.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
305.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
309.99199999999996,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
311.997,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
313.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
316.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
317.99399999999997,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
319.99300000000005,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
321.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
323.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
325.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
327.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
329.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
333.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
337.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
340.001,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
342.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
343.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
345.999,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
347.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
