Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
0.0,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
4.014,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
8.013,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
10.014000000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
12.014000000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
14.013,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
16.014,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
18.01,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
20.032,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
22.028,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
26.020999999999997,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
30.263,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.233
32.277,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.127
36.285,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.127
40.400999999999996,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.127
44.401999999999994,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.127
46.4,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
48.384,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
50.403000000000006,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
52.401,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
54.400999999999996,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
56.4,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
58.401,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.197
62.468999999999994,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
64.488,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
66.491,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
68.488,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
71.72399999999999,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
74.854,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
78.856,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
80.856,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
82.856,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
84.84,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
86.854,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
88.839,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
90.839,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
92.938,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
94.969,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
96.966,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.268
98.97200000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
102.972,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
107.05499999999999,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
109.069,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
111.08500000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
113.08500000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.339
115.084,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.339
117.155,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.339
119.17099999999999,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.339
121.19000000000001,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.339
123.183,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.339
125.18799999999999,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.161
127.17,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.161
131.185,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.161
135.185,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.161
137.193,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.161
139.181,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
141.171,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
143.18900000000002,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
145.176,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
147.19,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
149.188,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
151.18300000000002,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.127
153.172,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
155.175,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
157.172,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
159.17700000000002,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
163.20399999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
165.219,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
167.236,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
169.27700000000002,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
171.308,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
173.31,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
175.308,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
179.38299999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.056
181.41899999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
183.418,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
185.417,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
189.546,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
193.543,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
195.542,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.233
197.543,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.233
199.544,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.233
201.52999999999997,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.233
203.555,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.233
205.535,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.233
209.553,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
212.762,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
214.812,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
218.84300000000002,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
222.841,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
226.84099999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
228.84199999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
230.84099999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
232.846,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
234.849,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
236.84,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
238.84,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
242.038,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
246.108,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
249.14,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
251.12099999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
